wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
524.29,199.01,535.91,960.13
524.71,199.29,533.15,960.01
525.13,198.77,532.75,960.5
525.55,197.65,534.57,961.51
525.97,196.64,534.3,959.46
526.38,196.51,530.93,955.67
526.8,196.23,530.5,954.91
527.22,196.51,532.36,956.83
527.64,197,534.13,957.57
528.06,197.37,534.79,957.07
528.48,197.19,533.95,958.58
528.9,196.86,536.04,962.21
529.32,196.65,537.23,963.63
529.74,197.19,536.51,962.48
530.16,198.07,536.15,963.68
530.58,198,537.13,965.71
531,197.52,541.5,968.47
531.41,197.37,541.68,969.34
531.83,197.69,540.01,970.44
532.25,198.64,540.11,973.43
532.67,198.97,541.91,975.74
533.09,199.15,544.67,976.2
533.51,199.14,544.27,977.74
533.93,198.97,542.05,978.5
534.35,198.29,542.55,979.29
534.77,198.09,543.15,977.98
535.18,198.16,541.42,975.97
535.6,198.83,540.34,975.03
536.02,198.38,540.01,975.03
536.44,197.29,541.29,973.81
536.86,196.73,541.18,972.8
537.28,197.04,538.03,971.81
537.7,197.54,536.04,971.25
538.12,197.71,536.58,970.63
538.54,197.1,537.96,969.27
538.95,196.74,536.31,967.9
539.37,196.22,532.62,966.55
539.79,195.47,531.63,962.57
540.21,194.43,530.98,960.05
540.63,194.26,530.24,957.59
541.05,194.55,528.64,954.79
541.47,194.08,527.08,953.12
541.88,192.75,528.78,953.26
542.3,192.37,529.03,952.37
542.72,192.63,527.34,951.59
543.14,193.02,526.95,950.84
543.56,193.22,528.36,951.13
543.98,192.7,531.61,952.16
544.4,192.8,531.43,951.8
544.81,192.95,529.43,952.5
545.23,192.8,530.26,953.92
545.65,192.65,531.47,956.05
546.07,192.72,532.21,957.54
546.49,194.22,532.55,957.71
546.91,194.38,531.27,959.21
547.32,193.15,532.69,961.65
547.74,192.94,533.13,961.27
548.16,193.23,531.71,960.44
548.58,194.04,532.04,960.88
549,194.16,532.3,963.44
549.42,193.67,533.62,963.82
549.83,193.69,533.47,961.9
550.25,193.82,531.08,961.03
550.67,193.41,531.84,963.49
551.09,193,532.33,963.61
551.51,193.07,533.33,963.75
551.93,194.38,533.25,962.48
552.34,194.53,531.8,964.86
552.76,193.17,532.46,966.55
553.18,193.12,532.47,965.69
553.6,193.72,531.99,964.43
554.02,194.27,532.88,966.33
554.43,193.94,531.84,966.96
554.85,192.88,531.87,966.53
555.27,192.51,530.96,961.63
555.69,192.28,527.73,961.73
556.11,191.13,526.41,962.13
556.52,190.01,525.37,960.36
556.94,189.61,525.74,956.69
557.36,190.34,524.57,954.58
557.78,189.41,520.97,953.17
558.2,187.71,519.77,951.38
558.61,186.76,519.27,946.35
559.03,186.64,518.03,945.39
559.45,186.77,517.65,945
559.87,186.35,515.19,944.3
560.28,185.13,514.53,941.46
560.7,185.14,514.72,939.22
561.12,184.87,512.76,939.33
561.54,184.37,512.49,941.43
561.96,183.7,512.77,939.16
562.37,183.54,514.32,938.98
562.79,184.93,514.71,939.76
563.21,184.76,511.48,939.69
563.63,183.13,511.5,940.2
564.04,183.08,512.16,938.68
564.46,183.51,512.85,939.9
564.88,183.79,512.73,940.71
565.3,183.45,510.8,938.85
565.71,182.19,510.31,936.96
566.13,181.82,509.99,936.19
566.55,181.72,508.44,935.68
566.97,180.66,507.83,934.21
567.38,179.98,506.71,931.42
567.8,179.55,506.66,929.92
568.22,180.74,505.81,929.05
568.64,180.9,502.39,927
569.05,178.88,500.31,924.44
569.47,178.32,499.77,922.2
569.89,178.74,500.74,920.91
570.31,179.08,500.77,920.93
570.72,178.75,497.42,919.39
571.14,177.74,496.22,920.21
571.56,177.86,496.43,920.09
571.98,178.09,496.36,920.43
572.39,177.39,496.38,919.85
572.81,176.8,495.11,918.8
573.23,176.82,495.57,919.4
573.65,178.18,496.47,920.34
574.06,178.11,495.27,920.01
574.48,176.11,493.83,921.76
574.9,175.67,494.73,922.21
575.31,176.27,497.34,922.16
575.73,176.7,498.12,922.42
576.15,176.34,494.57,922
576.57,175.24,494.25,920.87
576.98,175.29,495.26,920.31
577.4,175.32,496.42,917.37
577.82,174.85,496.75,920.32
578.23,174.53,495.3,919.62
578.65,174.57,496.73,919.88
579.07,176.29,498.33,919.48
579.49,176.66,498.15,920.37
579.9,175.16,497.7,920.8
580.32,175.42,498.94,920.99
580.74,176.77,502.83,920.22
581.15,177.92,504.82,924.21
581.57,178.15,503.56,925.97
581.99,177.88,504.54,928.76
582.4,178.38,507.36,929.94
582.82,179.15,509.4,931.35
583.24,179.08,510.88,933.02
583.66,179.1,508.95,934.38
584.07,179.35,510.03,930.97
584.49,180.79,511.41,932.83
584.91,180.77,510.06,931.92
585.32,178.8,508.65,930.49
585.74,178.17,506.54,926.46
586.16,178.44,507.51,922.98
586.57,178.6,506.09,920.4
586.99,177.6,500.66,914.6
587.41,175.84,497.22,905.6
587.82,175.47,495.81,900.3
588.24,174.86,495.69,893.44
588.66,173.75,493.85,886.88
589.07,172.9,489.54,879
589.49,172.58,488.35,873.96
589.91,173.4,488.89,871.56
590.32,173.12,488.37,867.7
590.74,171.25,487.9,862.1
591.16,170.74,486.22,858.46
591.57,171.7,487.34,856.87
591.99,172.77,488.04,856.94
592.41,172.67,486.37,855.06
592.82,171.6,486.3,854.47
593.24,172.1,488.93,857.44
593.66,172.69,492.56,860.4
594.07,172.39,493.54,860.3
594.49,172.7,490.99,861.87
594.91,172.93,491.45,864.89
595.32,173.98,493.27,869.08
595.74,173.9,493.99,870.34
596.15,172.22,493.52,869.73
596.57,171.79,491.77,873.69
596.99,172.54,491.58,875.22
597.4,173.19,492.23,876.94
597.82,172.5,490.98,876.15
598.24,171.06,490.17,876.65
598.65,171.17,490.95,878.38
599.07,171.24,492.7,878.87
599.49,170.51,492.17,877.27
599.9,170.26,487.72,879.01
600.32,170.32,487.19,881.42
600.73,171.15,488.98,883.06
601.15,171.09,491.14,883.21
601.57,169.78,490.94,883.36
601.98,169.62,488.49,884.78
602.4,170.52,489.32,886
602.82,171.7,490.54,885.4
603.23,171.45,490.39,887.25
603.65,170.65,490.65,889.18
604.06,170.98,490.72,892.75
604.48,171.55,491.5,893.21
604.9,171.11,491.36,894.21
605.31,171.45,489.16,895.67
605.73,171.45,488.71,897.32
606.14,172.46,490.66,897.18
606.56,172.09,493.4,897.67
606.98,170.56,492.31,897.9
607.39,169.89,489.85,898.75
607.81,170.48,489.65,898.11
608.22,171.18,491.28,897.43
608.64,170.83,491.16,897.03
609.06,169.08,490.8,895.9
609.47,169.11,489.36,894.34
609.89,169.23,489.98,893.32
610.3,168.56,489.36,890.79
610.72,168.14,487.67,889.37
611.14,168.1,486.96,887.9
611.55,168.63,487.4,887.12
611.97,168.72,488.6,885.91
612.38,167.04,488.08,884.27
